BOLAÑOS,,,,,
BOLIVAR,,,,,
BOLIVIA,,,,,
BOLLINI,,,,,
BOLONIA,,,,,
BOMBAY,,,,,
"BONAVENA, OSCAR NATALIO",,,,,
"BONIFACIO, JOSE",,,,,
"BONORINO, ESTEBAN, Cnel.",,,,,
"BONORINO, MARTINIANO",,,,,
BONPLAND,,,,,
BOQUERON,,,,,
"BORCHES, JOSE",,,,,
"BORDABEHERE, ENZO",,,,,
"BORGES, JORGE LUIS",,,,,
"BOSCH, VENTURA",,,,,
BOSTON,,,,,
BOUCHARD,,,,,
BOULOGNE SUR MER,,,,,
BOYACA,,,,,
BRAGADO,,,,,
"BRAILLE, LUIS",,,,,
BRANDSEN,,,,,
BRASIL,,,,,
"BRAUN MENENDEZ, EDUARDO, DR.",,,,,
BRAVARD,,,,,
"BRAVO, MARIO",,,,,
"BRIN, Ministro",,,,,
"BROWN, ALTE.",,,,,
"BROWN, FRANK",,,,,
BRUIX,,,,,
"BRUNO, GIORDANO",,,,,
BRUSELAS,,,,,
BUCARELLI,,,,,
BUCAREST,,,,,
BUDAPEST,,,,,
BUERAS,,,,,
"BUFANO, ALFREDO R.",,,,,
BULGARIA,,,,,
"BULLRICH, INT.",,,,,
BULNES,,,,,
"BUNGE, Int.",,,,,
BURELA,,,,,
BURGOS,,,,,
"BURMEISTER, GERMAN",,,,,
"BUSCHIAZZO, JUAN A.",,,,,
"BUSTILLO, JOSE M., Gral.",,,,,
BUTTELER,,,,,
"BUTTY, E., Ing.",,,,,
BYNNON,,,,,
BYRON,,,,,
CAAGUAZU,,,,,
CABALLITO,,,,,
CABELLO,,,,,
"CABEZON, JOSE LEON",,,,,
CABILDO,,,,,
CABOT,,,,,
CABOTO,,,,,
"CABRAL, Sgto.",,,,,
"CABRED, DOMINGO, Dr.",,,,,
"CABRER, Cnel.",,,,,
"CABRERA, JOSE A.",,,,,
CACHEUTA,,,,,
CACHI,,,,,
CACHIMAYO,,,,,
CACIQUE,,,,,
CADIZ,,,,,
CAFAYATE,,,,,
"CAFFARENA, AGUSTIN R.",,,,,
"CAFFERATA, FRANCISCO",,,,,
CAGLIARI,,,,,
CAJARAVILLA,,,,,
CALABRIA,,,,,
"CALAZA, JOSE MARIA",,,,,
CALCENA,,,,,
CALDAS,,,,,
CALDEN,,,,,
"CALDERON DE LA BARCA, PEDRO",,,,,
CALFUCURA,,,,,
CALIFORNIA,,,,,
CALINGASTA,,,,,
CALLAO,,,,,
"CALOU, JUAN P.",,,,,
"CALVO, CARLOS",,,,,
"CALZADILLA, SANTIAGO",,,,,
CAMACUA,,,,,
CAMARGO,,,,,
CAMARONES,,,,,
"CAMBIESES, EUSTAQUIO",,,,,
CAMINITO,,,,,
"CAMINO, MIGUEL ANGEL",,,,,
CAMOATI,,,,,
CAMPANA,,,,,
CAMPICHUELO,,,,,
CAMPILLO,,,,,
CAMPOS SALLES,,,,,
"CAMPOS, GASPAR",,,,,
"CAMPOS, LUIS M.",,,,,
CANADA,,,,,
CANADA DE GOMEZ,,,,,
"CANARD, BENJAMIN, DR.",,,,,
CANDELARIA,,,,,
